surface,total_mentions_train,top_qid,top_count,purity,distinct_nonnull_qids,entropy
"синдзо абэ",9,"Q132345",6,0.6666666666666666,3,0.8486855577234171
"российское",6,"Q159",4,0.6666666666666666,3,0.8675632284784613
"британского",6,"Q145",4,0.6666666666666666,3,0.8675632284784613
"русских",6,"Q49542",4,0.6666666666666666,3,0.8675632284784613
"нью йорк",8,"Q60",5,0.625,3,0.9002560512655369
"американский",39,"Q846570",19,0.48717948717948717,3,0.9095923046106883
"немецких",5,"Q183",3,0.6,3,0.9502705392302345
"короля",5,"Q12097",3,0.6,3,0.9502705392302345
"китайский",5,"Q148",3,0.6,3,0.9502705392302345
"госсовета",5,"Q3687335",3,0.6,3,0.9502705392302345
"коммунистической партии",5,"Q233591",3,0.6,3,0.9502705392302345
"армии",5,"Q8473",3,0.6,3,0.9502705392302345
"британским",7,"Q145",4,0.5714285714285714,3,0.9556998911095345
"сената",8,"Q66096",4,0.5,3,0.9743147528663494
"кастро",8,"Q11256",4,0.5,3,0.9743147528663494
"украинский",6,"Q44806",3,0.5,3,1.0114042647043517
"генерального прокурора",6,"Q1501926",3,0.5,3,1.0114042647043517
"государственного совета",6,"Q3687335",3,0.5,3,1.0114042647043517
"ли",6,"Q707343",3,0.5,3,1.0114042647043517
"защитник",6,"Q2304909",3,0.5,3,1.0114042647043517
"следователи",12,"Q1971388",6,0.5,3,1.0114042647043517
"кремля",15,"Q133274",9,0.6,3,1.020036958397841
"сенатом",4,"Q66096",2,0.5,3,1.039720770836918
"японский",4,"Q17",2,0.5,3,1.039720770836918
"днепр",4,"Q48256",2,0.5,3,1.039720770836918
"испанского",4,"Q160894",2,0.5,3,1.039720770836918
"немецкий",4,"Q42884",2,0.5,3,1.039720770836918
"европейского",8,"Q46",4,0.5,3,1.039720770836918
"английский",3,"Q21",1,0.3333333333333333,3,1.0986122886651097
"министерстве обороны",3,"Q2982160",1,0.3333333333333333,3,1.0986122886651097
"генпрокурор",3,"Q1501926",1,0.3333333333333333,3,1.0986122886651097
"вратарь",3,"Q201330",1,0.3333333333333333,3,1.0986122886651097
"депутат госдумы",3,"Q715641",1,0.3333333333333333,3,1.0986122886651097
"вице губернатора",3,"Q1516453",1,0.3333333333333333,3,1.0986122886651097
"следователей",3,"Q30093123",1,0.3333333333333333,3,1.0986122886651097
"президент страны",3,"Q2672728",1,0.3333333333333333,3,1.0986122886651097
"союз",3,"Q579421",1,0.3333333333333333,3,1.0986122886651097
"конгресса",6,"Q11268",3,0.5,3,1.2424533248900003
"топ менеджера",5,"Q10501288",2,0.4,3,1.3321790402061222
"юлии",5,"Q4262660",2,0.4,3,1.3321790402061222
"рф",183,"Q159",182,0.994535519125683,2,0.033916660773974226
"великобритании",55,"Q145",54,0.9818181818181818,2,0.09087612133100155
"полиция",52,"Q35535",51,0.9807692307692307,2,0.09503011725364638
"премьер министр",47,"Q14212",46,0.9787234042553191,2,0.10296666046341248
"губернатора",35,"Q132050",34,0.9714285714285714,2,0.12974069471742836
"интернет",33,"Q75",32,0.9696969696969697,2,0.13579395874959388
"правительства",62,"Q7188",60,0.967741935483871,2,0.1425058673907378
"российской",30,"Q159",29,0.9666666666666667,2,0.14614474600656385
"премьер министром",27,"Q14212",26,0.9629629629629629,2,0.15841057012979087
"россию",26,"Q159",25,0.9615384615384616,2,0.16302362949236596
"актер",46,"Q33999",44,0.9565217391304348,2,0.17884491271484756
"президент россии",42,"Q218295",40,0.9523809523809523,2,0.19144408195571735
"премьер",19,"Q14212",18,0.9473684210526315,2,0.20619205063123186
"принца",19,"Q2747456",18,0.9473684210526315,2,0.20619205063123186
"москва",17,"Q649",16,0.9411764705882353,2,0.22371807606383376
"вице президент",17,"Q42178",16,0.9411764705882353,2,0.22371807606383376
"москвы",68,"Q649",64,0.9411764705882353,2,0.22371807606383376
"американской",14,"Q30",13,0.9285714285714286,2,0.2573186405418316
"принц",14,"Q2747456",13,0.9285714285714286,2,0.2573186405418316
"ввс",14,"Q61883",13,0.9285714285714286,2,0.2573186405418316
"московского",40,"Q649",37,0.925,2,0.26638446326592047
"артист",25,"Q483501",23,0.92,2,0.2787693717665874
"британской",12,"Q145",11,0.9166666666666666,2,0.2868359830541607
"премьером",11,"Q14212",10,0.9090909090909091,2,0.3046360973472382
"президента россии",11,"Q218295",10,0.9090909090909091,2,0.3046360973472382
"америки",11,"Q30",10,0.9090909090909091,2,0.3046360973472382
